Mnigripes_gene_id,Mnigripes_transcript_id,Gene_Symbol,Mpfuro_ensembl_gene_id,description_mpfuro,description_hsapiens
MUSNIGG00000083,MUSNIGT00000099,EN2,ENSMPUG00000009596,engrailed homeobox 2 [Source:HGNC Symbol;Acc:HGNC:3343],engrailed homeobox 2 [Source:HGNC Symbol;Acc:HGNC:3343]
MUSNIGG00000089,MUSNIGT00000105,INSIG1,NA,NA,insulin induced gene 1 [Source:HGNC Symbol;Acc:HGNC:6083]
MUSNIGG00000095,MUSNIGT00000113,HTR5A,ENSMPUG00000009565,5-hydroxytryptamine receptor 5A [Source:HGNC Symbol;Acc:HGNC:5300],5-hydroxytryptamine receptor 5A [Source:HGNC Symbol;Acc:HGNC:5300]
MUSNIGG00000097,MUSNIGT00000115,PAXIP1,ENSMPUG00000009429,PAX interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:8624],PAX interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:8624]
MUSNIGG00000099,MUSNIGT00000117,DPP6,ENSMPUG00000009409,dipeptidyl peptidase like 6 [Source:NCBI gene;Acc:101690783],dipeptidyl peptidase like 6 [Source:HGNC Symbol;Acc:HGNC:3010]
MUSNIGG00000122,MUSNIGT00000141,,NA,NA,NA
MUSNIGG00000142,MUSNIGT00000164,ACTR3B,NA,NA,actin related protein 3B [Source:HGNC Symbol;Acc:HGNC:17256]
MUSNIGG00000145,MUSNIGT00000167,XRCC2,ENSMPUG00000009388,X-ray repair cross complementing 2 [Source:HGNC Symbol;Acc:HGNC:12829],X-ray repair cross complementing 2 [Source:HGNC Symbol;Acc:HGNC:12829]
MUSNIGG00000153,MUSNIGT00000177,MLL3,NA,NA,NA
MUSNIGG00000154,MUSNIGT00000181,GALNT11,ENSMPUG00000009211,polypeptide N-acetylgalactosaminyltransferase 11 [Source:HGNC Symbol;Acc:HGNC:19875],polypeptide N-acetylgalactosaminyltransferase 11 [Source:HGNC Symbol;Acc:HGNC:19875]
MUSNIGG00000156,MUSNIGT00000183,GALNTL5,ENSMPUG00000009200,polypeptide N-acetylgalactosaminyltransferase like 5 [Source:HGNC Symbol;Acc:HGNC:21725],polypeptide N-acetylgalactosaminyltransferase like 5 [Source:HGNC Symbol;Acc:HGNC:21725]
MUSNIGG00000160,MUSNIGT00000190,PRKAG2,ENSMPUG00000009001,protein kinase AMP-activated non-catalytic subunit gamma 2 [Source:HGNC Symbol;Acc:HGNC:9386],protein kinase AMP-activated non-catalytic subunit gamma 2 [Source:HGNC Symbol;Acc:HGNC:9386]
MUSNIGG00000165,MUSNIGT00000196,RHEB,ENSMPUG00000008995,"Ras homolog, mTORC1 binding [Source:HGNC Symbol;Acc:HGNC:10011]","Ras homolog, mTORC1 binding [Source:HGNC Symbol;Acc:HGNC:10011]"
MUSNIGG00000166,MUSNIGT00000197,CRYGN,ENSMPUG00000008987,crystallin gamma N [Source:HGNC Symbol;Acc:HGNC:20458],crystallin gamma N [Source:HGNC Symbol;Acc:HGNC:20458]
MUSNIGG00000168,MUSNIGT00000199,WDR86,ENSMPUG00000008970,WD repeat domain 86 [Source:HGNC Symbol;Acc:HGNC:28020],WD repeat domain 86 [Source:HGNC Symbol;Acc:HGNC:28020]
MUSNIGG00000169,MUSNIGT00000200,NUB1,ENSMPUG00000008958,negative regulator of ubiquitin like proteins 1 [Source:HGNC Symbol;Acc:HGNC:17623],negative regulator of ubiquitin like proteins 1 [Source:HGNC Symbol;Acc:HGNC:17623]
MUSNIGG00000171,MUSNIGT00000203,SMARCD3,ENSMPUG00000008936,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3 [Source:HGNC Symbol;Acc:HGNC:11108]","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3 [Source:HGNC Symbol;Acc:HGNC:11108]"
MUSNIGG00000172,MUSNIGT00000204,CHPF2,ENSMPUG00000008929,chondroitin polymerizing factor 2 [Source:NCBI gene;Acc:101684382],chondroitin polymerizing factor 2 [Source:HGNC Symbol;Acc:HGNC:29270]
MUSNIGG00000174,MUSNIGT00000206,ABCF2,NA,NA,ATP binding cassette subfamily F member 2 [Source:HGNC Symbol;Acc:HGNC:71]
MUSNIGG00000175,MUSNIGT00000207,,NA,NA,NA
MUSNIGG00000176,MUSNIGT00000208,,NA,NA,NA
MUSNIGG00000177,MUSNIGT00000209,ASB10,ENSMPUG00000008799,ankyrin repeat and SOCS box containing 10 [Source:HGNC Symbol;Acc:HGNC:17185],ankyrin repeat and SOCS box containing 10 [Source:HGNC Symbol;Acc:HGNC:17185]
MUSNIGG00000178,MUSNIGT00000210,GBX1,ENSMPUG00000008793,gastrulation brain homeobox 1 [Source:HGNC Symbol;Acc:HGNC:4185],gastrulation brain homeobox 1 [Source:HGNC Symbol;Acc:HGNC:4185]
MUSNIGG00000179,MUSNIGT00000213,AGAP3,ENSMPUG00000008780,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 3 [Source:HGNC Symbol;Acc:HGNC:16923]","ArfGAP with GTPase domain, ankyrin repeat and PH domain 3 [Source:HGNC Symbol;Acc:HGNC:16923]"
MUSNIGG00000180,MUSNIGT00000214,TMUB1,ENSMPUG00000008775,transmembrane and ubiquitin like domain containing 1 [Source:HGNC Symbol;Acc:HGNC:21709],transmembrane and ubiquitin like domain containing 1 [Source:HGNC Symbol;Acc:HGNC:21709]
MUSNIGG00000181,MUSNIGT00000215,FASTK,ENSMPUG00000008727,Fas activated serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:24676],Fas activated serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:24676]
MUSNIGG00000182,MUSNIGT00000216,SLC4A2,ENSMPUG00000008413,solute carrier family 4 member 2 [Source:NCBI gene;Acc:101678519],solute carrier family 4 member 2 [Source:HGNC Symbol;Acc:HGNC:11028]
MUSNIGG00000184,MUSNIGT00000218,CDK5,ENSMPUG00000008335,cyclin dependent kinase 5 [Source:HGNC Symbol;Acc:HGNC:1774],cyclin dependent kinase 5 [Source:HGNC Symbol;Acc:HGNC:1774]
MUSNIGG00000185,MUSNIGT00000219,CDK5,ENSMPUG00000008335,cyclin dependent kinase 5 [Source:HGNC Symbol;Acc:HGNC:1774],cyclin dependent kinase 5 [Source:HGNC Symbol;Acc:HGNC:1774]
MUSNIGG00000186,MUSNIGT00000220,ASIC3,ENSMPUG00000008222,acid sensing ion channel subunit 3 [Source:HGNC Symbol;Acc:HGNC:101],acid sensing ion channel subunit 3 [Source:HGNC Symbol;Acc:HGNC:101]
MUSNIGG00000187,MUSNIGT00000221,ABCB8,ENSMPUG00000008082,ATP binding cassette subfamily B member 8 [Source:HGNC Symbol;Acc:HGNC:49],ATP binding cassette subfamily B member 8 [Source:HGNC Symbol;Acc:HGNC:49]
MUSNIGG00000188,MUSNIGT00000222,ATG9B,ENSMPUG00000007969,autophagy related 9B [Source:HGNC Symbol;Acc:HGNC:21899],autophagy related 9B [Source:HGNC Symbol;Acc:HGNC:21899]
MUSNIGG00000189,MUSNIGT00000223,ATG9B,ENSMPUG00000007969,autophagy related 9B [Source:HGNC Symbol;Acc:HGNC:21899],autophagy related 9B [Source:HGNC Symbol;Acc:HGNC:21899]
MUSNIGG00000190,MUSNIGT00000224,NOS3,ENSMPUG00000007580,nitric oxide synthase 3 [Source:HGNC Symbol;Acc:HGNC:7876],nitric oxide synthase 3 [Source:HGNC Symbol;Acc:HGNC:7876]
MUSNIGG00000191,MUSNIGT00000226,KCNH2,ENSMPUG00000007562,potassium voltage-gated channel subfamily H member 2 [Source:HGNC Symbol;Acc:HGNC:6251],potassium voltage-gated channel subfamily H member 2 [Source:HGNC Symbol;Acc:HGNC:6251]
MUSNIGG00000192,MUSNIGT00000227,ABP1,NA,NA,NA
MUSNIGG00000194,MUSNIGT00000229,TMEM176A,ENSMPUG00000007514,transmembrane protein 176A [Source:HGNC Symbol;Acc:HGNC:24930],transmembrane protein 176A [Source:HGNC Symbol;Acc:HGNC:24930]
MUSNIGG00000195,MUSNIGT00000230,TMEM176B,ENSMPUG00000007508,transmembrane protein 176B [Source:HGNC Symbol;Acc:HGNC:29596],transmembrane protein 176B [Source:HGNC Symbol;Acc:HGNC:29596]
MUSNIGG00000199,MUSNIGT00000234,GIMAP8,NA,NA,"GTPase, IMAP family member 8 [Source:HGNC Symbol;Acc:HGNC:21792]"
MUSNIGG00000202,MUSNIGT00000238,ZNF775,NA,NA,zinc finger protein 775 [Source:HGNC Symbol;Acc:HGNC:28501]
MUSNIGG00000203,MUSNIGT00000239,REPIN1,NA,NA,replication initiator 1 [Source:HGNC Symbol;Acc:HGNC:17922]
MUSNIGG00000204,MUSNIGT00000241,RARRES2,ENSMPUG00000007351,retinoic acid receptor responder 2 [Source:HGNC Symbol;Acc:HGNC:9868],retinoic acid receptor responder 2 [Source:HGNC Symbol;Acc:HGNC:9868]
MUSNIGG00000206,MUSNIGT00000243,C7ORF29,NA,NA,NA
MUSNIGG00000209,MUSNIGT00000246,ZNF862,NA,NA,zinc finger protein 862 [Source:HGNC Symbol;Acc:HGNC:34519]
MUSNIGG00000211,MUSNIGT00000251,ZNF467,ENSMPUG00000006763,zinc finger protein 467 [Source:HGNC Symbol;Acc:HGNC:23154],zinc finger protein 467 [Source:HGNC Symbol;Acc:HGNC:23154]
MUSNIGG00000212,MUSNIGT00000253,KRBA1,ENSMPUG00000006758,KRAB-A domain containing 1 [Source:HGNC Symbol;Acc:HGNC:22228],KRAB-A domain containing 1 [Source:HGNC Symbol;Acc:HGNC:22228]
MUSNIGG00000213,MUSNIGT00000257,ZNF746,ENSMPUG00000006743,zinc finger protein 746 [Source:HGNC Symbol;Acc:HGNC:21948],zinc finger protein 746 [Source:HGNC Symbol;Acc:HGNC:21948]
MUSNIGG00000214,MUSNIGT00000258,ZNF777,ENSMPUG00000006736,zinc finger protein 777 [Source:HGNC Symbol;Acc:HGNC:22213],zinc finger protein 777 [Source:HGNC Symbol;Acc:HGNC:22213]
MUSNIGG00000217,MUSNIGT00000263,ZNF783,ENSMPUG00000006727,zinc finger family member 783 [Source:HGNC Symbol;Acc:HGNC:27222],zinc finger family member 783 [Source:HGNC Symbol;Acc:HGNC:27222]
MUSNIGG00000219,MUSNIGT00000265,ZNF212,NA,NA,zinc finger protein 212 [Source:HGNC Symbol;Acc:HGNC:13004]
MUSNIGG00000221,MUSNIGT00000268,ZNF282,ENSMPUG00000006666,zinc finger protein 282 [Source:HGNC Symbol;Acc:HGNC:13076],zinc finger protein 282 [Source:HGNC Symbol;Acc:HGNC:13076]
MUSNIGG00000222,MUSNIGT00000269,ZNF398,ENSMPUG00000006622,zinc finger protein 398 [Source:HGNC Symbol;Acc:HGNC:18373],zinc finger protein 398 [Source:HGNC Symbol;Acc:HGNC:18373]
MUSNIGG00000223,MUSNIGT00000270,,NA,NA,NA
MUSNIGG00000224,MUSNIGT00000272,ZNF786,ENSMPUG00000006613,zinc finger protein 786 [Source:NCBI gene;Acc:101690504],zinc finger protein 786 [Source:HGNC Symbol;Acc:HGNC:21806]
MUSNIGG00000226,MUSNIGT00000274,PDIA4,ENSMPUG00000006526,protein disulfide isomerase family A member 4 [Source:HGNC Symbol;Acc:HGNC:30167],protein disulfide isomerase family A member 4 [Source:HGNC Symbol;Acc:HGNC:30167]
MUSNIGG00000229,MUSNIGT00000277,EZH2,ENSMPUG00000007249,enhancer of zeste 2 polycomb repressive complex 2 subunit [Source:HGNC Symbol;Acc:HGNC:3527],enhancer of zeste 2 polycomb repressive complex 2 subunit [Source:HGNC Symbol;Acc:HGNC:3527]
MUSNIGG00000230,MUSNIGT00000279,CUL1,ENSMPUG00000007262,cullin 1 [Source:HGNC Symbol;Acc:HGNC:2551],cullin 1 [Source:HGNC Symbol;Acc:HGNC:2551]
MUSNIGG00000233,MUSNIGT00000282,CNTNAP2,NA,NA,contactin associated protein 2 [Source:HGNC Symbol;Acc:HGNC:13830]
MUSNIGG00000236,MUSNIGT00000285,CNTNAP2,NA,NA,contactin associated protein 2 [Source:HGNC Symbol;Acc:HGNC:13830]
MUSNIGG00000241,MUSNIGT00000291,SNRPD1,NA,NA,small nuclear ribonucleoprotein D1 polypeptide [Source:HGNC Symbol;Acc:HGNC:11158]
MUSNIGG00000261,MUSNIGT00000313,TPK1,ENSMPUG00000007104,thiamin pyrophosphokinase 1 [Source:HGNC Symbol;Acc:HGNC:17358],thiamin pyrophosphokinase 1 [Source:HGNC Symbol;Acc:HGNC:17358]
MUSNIGG00000263,MUSNIGT00000315,NOBOX,ENSMPUG00000007079,NOBOX oogenesis homeobox [Source:HGNC Symbol;Acc:HGNC:22448],NOBOX oogenesis homeobox [Source:HGNC Symbol;Acc:HGNC:22448]
MUSNIGG00000264,MUSNIGT00000317,ARHGEF5,ENSMPUG00000007058,Rho guanine nucleotide exchange factor 5 [Source:HGNC Symbol;Acc:HGNC:13209],Rho guanine nucleotide exchange factor 5 [Source:HGNC Symbol;Acc:HGNC:13209]
MUSNIGG00000267,MUSNIGT00000320,OR2A1,NA,NA,olfactory receptor family 2 subfamily A member 1 [Source:NCBI gene (formerly Entrezgene);Acc:346528]
MUSNIGG00000267,MUSNIGT00000320,OR2A1,NA,NA,olfactory receptor family 2 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:8229]
MUSNIGG00000268,MUSNIGT00000321,OR2A1,NA,NA,olfactory receptor family 2 subfamily A member 1 [Source:NCBI gene (formerly Entrezgene);Acc:346528]
MUSNIGG00000268,MUSNIGT00000321,OR2A1,NA,NA,olfactory receptor family 2 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:8229]
MUSNIGG00000269,MUSNIGT00000322,OLFR13,NA,NA,NA
MUSNIGG00000270,MUSNIGT00000323,OR2A2,NA,NA,olfactory receptor family 2 subfamily A member 2 [Source:NCBI gene (formerly Entrezgene);Acc:442361]
MUSNIGG00000270,MUSNIGT00000323,OR2A2,NA,NA,olfactory receptor family 2 subfamily A member 2 [Source:HGNC Symbol;Acc:HGNC:8230]
MUSNIGG00000270,MUSNIGT00000323,OR2A2,NA,NA,olfactory receptor family 2 subfamily A member 2 [Source:NCBI gene (formerly Entrezgene);Acc:442361]
MUSNIGG00000270,MUSNIGT00000323,OR2A2,NA,NA,olfactory receptor family 2 subfamily A member 2 [Source:HGNC Symbol;Acc:HGNC:8230]
MUSNIGG00000271,MUSNIGT00000324,OR2A14,ENSMPUG00000007040,olfactory receptor family 2 subfamily A member 14 [Source:HGNC Symbol;Acc:HGNC:15084],olfactory receptor family 2 subfamily A member 14 [Source:NCBI gene (formerly Entrezgene);Acc:135941]
MUSNIGG00000271,MUSNIGT00000324,OR2A14,ENSMPUG00000007040,olfactory receptor family 2 subfamily A member 14 [Source:HGNC Symbol;Acc:HGNC:15084],olfactory receptor family 2 subfamily A member 14 [Source:HGNC Symbol;Acc:HGNC:15084]
MUSNIGG00000273,MUSNIGT00000327,OR2A12,ENSMPUG00000020037,olfactory receptor 2A12 [Source:NCBI gene;Acc:101681691],olfactory receptor family 2 subfamily A member 12 [Source:NCBI gene (formerly Entrezgene);Acc:346525]
MUSNIGG00000273,MUSNIGT00000327,OR2A12,ENSMPUG00000020037,olfactory receptor 2A12 [Source:NCBI gene;Acc:101681691],olfactory receptor family 2 subfamily A member 12 [Source:HGNC Symbol;Acc:HGNC:15082]
MUSNIGG00000274,MUSNIGT00000328,OR2A25,ENSMPUG00000020035,olfactory receptor 2A25 [Source:NCBI gene;Acc:101688448],olfactory receptor family 2 subfamily A member 25 [Source:NCBI gene (formerly Entrezgene);Acc:392138]
MUSNIGG00000274,MUSNIGT00000328,OR2A25,ENSMPUG00000020035,olfactory receptor 2A25 [Source:NCBI gene;Acc:101688448],olfactory receptor family 2 subfamily A member 25 [Source:HGNC Symbol;Acc:HGNC:19562]
MUSNIGG00000275,MUSNIGT00000329,OR2A5,NA,NA,olfactory receptor family 2 subfamily A member 5 [Source:HGNC Symbol;Acc:HGNC:8232]
MUSNIGG00000276,MUSNIGT00000330,OR6B1,ENSMPUG00000020034,olfactory receptor 6B1 [Source:NCBI gene;Acc:101688162],olfactory receptor family 6 subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:8354]
MUSNIGG00000277,MUSNIGT00000331,,NA,NA,NA
MUSNIGG00000278,MUSNIGT00000332,,NA,NA,NA
MUSNIGG00000279,MUSNIGT00000333,OR2F1,NA,NA,olfactory receptor family 2 subfamily F member 1 [Source:HGNC Symbol;Acc:HGNC:8246]
MUSNIGG00000280,MUSNIGT00000334,OR2F1,NA,NA,olfactory receptor family 2 subfamily F member 1 [Source:HGNC Symbol;Acc:HGNC:8246]
MUSNIGG00000283,MUSNIGT00000337,OR2F1,NA,NA,olfactory receptor family 2 subfamily F member 1 [Source:HGNC Symbol;Acc:HGNC:8246]
MUSNIGG00000286,MUSNIGT00000340,FAM115A,NA,NA,NA
MUSNIGG00000288,MUSNIGT00000342,FAM115C,NA,NA,NA
MUSNIGG00000289,MUSNIGT00000343,OLFR455,NA,NA,NA
MUSNIGG00000291,MUSNIGT00000345,,NA,NA,NA
MUSNIGG00000295,MUSNIGT00000349,EPHA1,ENSMPUG00000007013,EPH receptor A1 [Source:NCBI gene;Acc:101679543],EPH receptor A1 [Source:HGNC Symbol;Acc:HGNC:3385]
MUSNIGG00000296,MUSNIGT00000350,ZYX,ENSMPUG00000007005,zyxin [Source:HGNC Symbol;Acc:HGNC:13200],zyxin [Source:HGNC Symbol;Acc:HGNC:13200]
MUSNIGG00000298,MUSNIGT00000354,FAM131B,ENSMPUG00000007001,family with sequence similarity 131 member B [Source:HGNC Symbol;Acc:HGNC:22202],family with sequence similarity 131 member B [Source:HGNC Symbol;Acc:HGNC:22202]
MUSNIGG00000300,MUSNIGT00000357,CLCN1,ENSMPUG00000006980,chloride voltage-gated channel 1 [Source:NCBI gene;Acc:101676182],chloride voltage-gated channel 1 [Source:HGNC Symbol;Acc:HGNC:2019]
MUSNIGG00000301,MUSNIGT00000358,CASP2,ENSMPUG00000006971,caspase 2 [Source:HGNC Symbol;Acc:HGNC:1503],caspase 2 [Source:HGNC Symbol;Acc:HGNC:1503]
MUSNIGG00000302,MUSNIGT00000359,TMEM139,ENSMPUG00000006961,transmembrane protein 139 [Source:HGNC Symbol;Acc:HGNC:22058],transmembrane protein 139 [Source:HGNC Symbol;Acc:HGNC:22058]
MUSNIGG00000303,MUSNIGT00000360,GSTK1,ENSMPUG00000000713,glutathione S-transferase kappa 1 [Source:HGNC Symbol;Acc:HGNC:16906],glutathione S-transferase kappa 1 [Source:HGNC Symbol;Acc:HGNC:16906]
MUSNIGG00000305,MUSNIGT00000362,PIP,ENSMPUG00000008371,prolactin induced protein [Source:HGNC Symbol;Acc:HGNC:8993],prolactin induced protein [Source:HGNC Symbol;Acc:HGNC:8993]
MUSNIGG00000308,MUSNIGT00000365,OR9A2,NA,NA,olfactory receptor family 9 subfamily A member 2 [Source:HGNC Symbol;Acc:HGNC:15093]
MUSNIGG00000309,MUSNIGT00000366,KEL,ENSMPUG00000008391,Kell metallo-endopeptidase (Kell blood group) [Source:HGNC Symbol;Acc:HGNC:6308],Kell metallo-endopeptidase (Kell blood group) [Source:HGNC Symbol;Acc:HGNC:6308]
MUSNIGG00000310,MUSNIGT00000368,C7ORF34,NA,NA,NA
MUSNIGG00000311,MUSNIGT00000369,TRPV5,NA,NA,transient receptor potential cation channel subfamily V member 5 [Source:HGNC Symbol;Acc:HGNC:3145]
MUSNIGG00000312,MUSNIGT00000371,TRPV6,ENSMPUG00000008464,transient receptor potential cation channel subfamily V member 6 [Source:NCBI gene;Acc:101681448],transient receptor potential cation channel subfamily V member 6 [Source:HGNC Symbol;Acc:HGNC:14006]
MUSNIGG00000313,MUSNIGT00000372,EPHB6,ENSMPUG00000008478,EPH receptor B6 [Source:NCBI gene;Acc:101680976],EPH receptor B6 [Source:HGNC Symbol;Acc:HGNC:3396]
MUSNIGG00000315,MUSNIGT00000374,TRBC2,NA,NA,T cell receptor beta constant 2 [Source:HGNC Symbol;Acc:HGNC:12157]
MUSNIGG00000316,MUSNIGT00000379,TRBC2,NA,NA,T cell receptor beta constant 2 [Source:HGNC Symbol;Acc:HGNC:12157]
MUSNIGG00000317,MUSNIGT00000380,PRSS3,NA,NA,serine protease 3 [Source:HGNC Symbol;Acc:HGNC:9486]
MUSNIGG00000318,MUSNIGT00000381,,NA,NA,NA
MUSNIGG00000319,MUSNIGT00000382,,NA,NA,NA
MUSNIGG00000320,MUSNIGT00000383,,NA,NA,NA
MUSNIGG00000321,MUSNIGT00000384,,NA,NA,NA
MUSNIGG00000322,MUSNIGT00000385,,NA,NA,NA
MUSNIGG00000323,MUSNIGT00000386,,NA,NA,NA
MUSNIGG00000324,MUSNIGT00000387,,NA,NA,NA
MUSNIGG00000325,MUSNIGT00000388,,NA,NA,NA
MUSNIGG00000326,MUSNIGT00000389,,NA,NA,NA
MUSNIGG00000327,MUSNIGT00000390,,NA,NA,NA
MUSNIGG00000328,MUSNIGT00000391,TRBV27,NA,NA,T cell receptor beta variable 27 [Source:HGNC Symbol;Acc:HGNC:12208]
MUSNIGG00000329,MUSNIGT00000392,,NA,NA,NA
MUSNIGG00000330,MUSNIGT00000393,TRBV6-5,NA,NA,T cell receptor beta variable 6-5 [Source:HGNC Symbol;Acc:HGNC:12230]
MUSNIGG00000331,MUSNIGT00000394,TRBV9,NA,NA,T cell receptor beta variable 9 [Source:HGNC Symbol;Acc:HGNC:12246]
MUSNIGG00000332,MUSNIGT00000395,ARL6IP6,NA,NA,ADP ribosylation factor like GTPase 6 interacting protein 6 [Source:HGNC Symbol;Acc:HGNC:24048]
MUSNIGG00000332,MUSNIGT00000395,ARL6IP6,NA,NA,ADP ribosylation factor like GTPase 6 interacting protein 6 [Source:HGNC Symbol;Acc:HGNC:24048]
MUSNIGG00000333,MUSNIGT00000396,,NA,NA,NA
MUSNIGG00000334,MUSNIGT00000397,,NA,NA,NA
MUSNIGG00000335,MUSNIGT00000398,,NA,NA,NA
MUSNIGG00000336,MUSNIGT00000399,,NA,NA,NA
MUSNIGG00000337,MUSNIGT00000400,PRSS58,ENSMPUG00000002936,serine protease 58 [Source:HGNC Symbol;Acc:HGNC:39125],serine protease 58 [Source:HGNC Symbol;Acc:HGNC:39125]
MUSNIGG00000338,MUSNIGT00000401,MOXD2,NA,NA,NA
MUSNIGG00000339,MUSNIGT00000402,MGAM,ENSMPUG00000003017,maltase-glucoamylase [Source:HGNC Symbol;Acc:HGNC:7043],maltase-glucoamylase [Source:HGNC Symbol;Acc:HGNC:7043]
MUSNIGG00000340,MUSNIGT00000404,MGAM,ENSMPUG00000003017,maltase-glucoamylase [Source:HGNC Symbol;Acc:HGNC:7043],maltase-glucoamylase [Source:HGNC Symbol;Acc:HGNC:7043]
MUSNIGG00000341,MUSNIGT00000406,TAS2R38,ENSMPUG00000018729,taste 2 receptor member 38 [Source:NCBI gene;Acc:101690495],taste 2 receptor member 38 [Source:HGNC Symbol;Acc:HGNC:9584]
MUSNIGG00000342,MUSNIGT00000407,OR9A4,NA,NA,olfactory receptor family 9 subfamily A member 4 [Source:HGNC Symbol;Acc:HGNC:15095]
MUSNIGG00000343,MUSNIGT00000408,OR9A4,NA,NA,olfactory receptor family 9 subfamily A member 4 [Source:HGNC Symbol;Acc:HGNC:15095]
MUSNIGG00000344,MUSNIGT00000409,OR9A2,NA,NA,olfactory receptor family 9 subfamily A member 2 [Source:HGNC Symbol;Acc:HGNC:15093]
MUSNIGG00000345,MUSNIGT00000410,,NA,NA,NA
MUSNIGG00000347,MUSNIGT00000412,PRSS37,ENSMPUG00000003229,serine protease 37 [Source:HGNC Symbol;Acc:HGNC:29211],serine protease 37 [Source:HGNC Symbol;Acc:HGNC:29211]
MUSNIGG00000349,MUSNIGT00000415,TAS2R5,ENSMPUG00000018736,taste 2 receptor member 5 [Source:HGNC Symbol;Acc:HGNC:14912],taste 2 receptor member 5 [Source:HGNC Symbol;Acc:HGNC:14912]
MUSNIGG00000350,MUSNIGT00000416,TAS2R3,ENSMPUG00000018738,taste 2 receptor member 3 [Source:HGNC Symbol;Acc:HGNC:14910],taste 2 receptor member 3 [Source:HGNC Symbol;Acc:HGNC:14910]
MUSNIGG00000351,MUSNIGT00000417,SSBP1,ENSMPUG00000003257,single stranded DNA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:11317],single stranded DNA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:11317]
MUSNIGG00000352,MUSNIGT00000419,WEE2,ENSMPUG00000003262,WEE2 oocyte meiosis inhibiting kinase [Source:NCBI gene;Acc:101669959],WEE2 oocyte meiosis inhibiting kinase [Source:HGNC Symbol;Acc:HGNC:19684]
